horizon,mse,rmse,mae,mape,coverage
18 days 00:00:00.000000000,23.71776208063454,4.870088508501107,4.087105397178042,0.053479114305185135,0.5476190476190477
18 days 00:00:00.000000000,23.893838202160875,4.8881323838620485,4.103719395137528,0.05379040709697777,0.5476190476190477
18 days 00:00:00.000000000,24.380879017607768,4.937699769893646,4.142194203575804,0.054545813524641926,0.5396825396825397
19 days 00:00:00.000000000,24.460103158500647,4.94571563663952,4.155457466815758,0.05463630360291895,0.5396825396825397
19 days 00:00:00.000000000,24.7909535447407,4.979051470384766,4.199028485621385,0.05509903116770897,0.5317460317460317
19 days 00:00:00.000000000,24.82365578431295,4.98233437098645,4.202912783654911,0.05506058818664517,0.5396825396825397
19 days 00:00:00.000000000,24.85599420174078,4.985578622561356,4.20520218478482,0.055223589455426776,0.5396825396825397
19 days 00:00:00.000000000,25.207752042865884,5.020732221784576,4.2314378516948095,0.05557693803904899,0.5396825396825397
19 days 00:00:00.000000000,25.383849679066365,5.038238747723887,4.256007096367553,0.0558758757896281,0.5317460317460317
19 days 00:00:00.000000000,25.452610736805457,5.045058050885585,4.267185921920478,0.055976742503642214,0.5238095238095238
20 days 00:00:00.000000000,25.09505614052005,5.0094965955193596,4.230863449913606,0.0554459943459403,0.5317460317460317
20 days 00:00:00.000000000,25.394636868045467,5.039309165753324,4.261236652432619,0.05579016178983966,0.5238095238095238
20 days 00:00:00.000000000,25.159682533815584,5.015942835979651,4.230683562853313,0.055445987901580354,0.5317460317460317
20 days 00:00:00.000000000,25.658226193084516,5.0653949691099625,4.2824681940734814,0.05612472482961709,0.5238095238095238
20 days 00:00:00.000000000,26.004246704172644,5.099435920194766,4.323031414596777,0.056656414989670986,0.5158730158730159
20 days 00:00:00.000000000,26.458030594188884,5.143737026150237,4.379740411783977,0.05745939010561983,0.5079365079365079
20 days 00:00:00.000000000,27.530382909216,5.246940337874636,4.446055084761584,0.05863208908745269,0.5079365079365079
20 days 00:00:00.000000000,27.49279052530876,5.243356799351801,4.442142011435453,0.058477974217963725,0.5158730158730159
