horizon,mse,rmse,mae,mape,coverage
19 days 00:00:00.000000000,0.7217335609406937,0.8495490338648463,0.7130773439652403,0.05487427021926391,0.436241610738255
19 days 00:00:00.000000000,0.7169370209036087,0.8467213360389643,0.7108087216215664,0.054657831167231045,0.436241610738255
19 days 00:00:00.000000000,0.7400232278949492,0.8602460275380232,0.7200626511677184,0.05511793368243533,0.436241610738255
19 days 00:00:00.000000000,0.7357630657924514,0.8577663235359916,0.7149354932451364,0.05464833747418403,0.4429530201342282
19 days 00:00:00.000000000,0.7409737206160207,0.8607983042594942,0.7206018843852329,0.05500717179702358,0.436241610738255
19 days 00:00:00.000000000,0.7447639925397789,0.8629970988014843,0.7246849278595738,0.055219264105903526,0.42953020134228187
19 days 00:00:00.000000000,0.7460457407552266,0.8637393940044801,0.7255318608069421,0.05524443919842607,0.42953020134228187
19 days 00:00:00.000000000,0.7457734037709159,0.8635817296416801,0.7243832556559812,0.055110897573470374,0.42953020134228187
20 days 00:00:00.000000000,0.7404738694055494,0.8605079136216873,0.7186166032219251,0.0547268083641229,0.436241610738255
20 days 00:00:00.000000000,0.7202127770521981,0.8486535082424382,0.708535411214774,0.05413105366675996,0.4429530201342282
20 days 00:00:00.000000000,0.7111198655668712,0.8432792334493191,0.7017215880526612,0.05357502511262549,0.44966442953020136
20 days 00:00:00.000000000,0.7189675728029047,0.847919555620051,0.706609627387407,0.05378771728719905,0.4429530201342282
20 days 00:00:00.000000000,0.7210223315383673,0.8491303383688321,0.7090248277504367,0.053830043720407596,0.4429530201342282
20 days 00:00:00.000000000,0.7210071754359214,0.8491214138366323,0.7090059968539021,0.0538806912652447,0.4429530201342282
20 days 00:00:00.000000000,0.7195434959857452,0.8482590972018781,0.707372837886783,0.05371875651491257,0.44966442953020136
20 days 00:00:00.000000000,0.7185000820405103,0.8476438415045026,0.7068071587299224,0.053669567023011656,0.44966442953020136
21 days 00:00:00.000000000,0.714725882050613,0.8454146213844501,0.7031877576109021,0.05348440777116209,0.4563758389261745
21 days 00:00:00.000000000,0.7142752425914266,0.8451480595679236,0.7019147716461751,0.05335806059568385,0.4563758389261745
21 days 00:00:00.000000000,0.7158349888898313,0.8460703214803315,0.704038344832415,0.05359183335330158,0.44966442953020136
21 days 00:00:00.000000000,0.7083930183200706,0.8416608689490505,0.6990561442550979,0.053183583364055424,0.4563758389261745
21 days 00:00:00.000000000,0.709363415765401,0.842237149361984,0.7001502420973897,0.053414043227714744,0.4563758389261745
21 days 00:00:00.000000000,0.7089132733256562,0.8419698767329246,0.6985388268362845,0.05325385697340338,0.4563758389261745
21 days 00:00:00.000000000,0.7097563618576368,0.842470392273602,0.6992672749717928,0.05340990241460706,0.44966442953020136
21 days 00:00:00.000000000,0.7153009259398412,0.8457546487840556,0.7011893394730234,0.053485128705284976,0.44966442953020136
22 days 00:00:00.000000000,0.7178411449112851,0.847255064848411,0.7033305776337736,0.05375806790896405,0.4429530201342282
22 days 00:00:00.000000000,0.7156851344235782,0.8459817577368782,0.7016550171842856,0.053608464297402625,0.4429530201342282
22 days 00:00:00.000000000,0.7136348433054623,0.8447691065051222,0.698594249305935,0.05332594295215164,0.44966442953020136
22 days 00:00:00.000000000,0.7181057128350601,0.8474111828593366,0.7023191289071535,0.05362374611089149,0.4429530201342282
22 days 00:00:00.000000000,0.6986992266535674,0.8358823043069924,0.6926748664136938,0.0530875866602048,0.44966442953020136
22 days 00:00:00.000000000,0.700235104047418,0.8368005162805637,0.6951566700340862,0.053225354526139565,0.44966442953020136
22 days 00:00:00.000000000,0.6963960895881351,0.8345034988471499,0.6907651715630142,0.05299489453708469,0.4563758389261745
22 days 00:00:00.000000000,0.7061736065847827,0.8403413631285698,0.6957281767083169,0.053154592830170336,0.4563758389261745
22 days 00:00:00.000000000,0.7013088618090387,0.8374418557780825,0.6930208839543809,0.05313757760926828,0.4563758389261745
23 days 00:00:00.000000000,0.698954019654383,0.8360347000300783,0.6900696755535495,0.0529879855402289,0.4563758389261745
23 days 00:00:00.000000000,0.6973483991194267,0.8350738884191187,0.6874158848200966,0.05276771874774407,0.46308724832214765
23 days 00:00:00.000000000,0.6944790696517096,0.8333541081987353,0.6836245915124933,0.05240295285289586,0.4697986577181208
23 days 00:00:00.000000000,0.6895704421703949,0.8304037826084337,0.6796706582926747,0.05209680536482357,0.47651006711409394
23 days 00:00:00.000000000,0.6872266397782537,0.8289913387836171,0.6785648342521227,0.05224845873602284,0.47651006711409394
23 days 00:00:00.000000000,0.6824129682155509,0.826082906381406,0.6744946348239856,0.05202297587277327,0.48322147651006714
23 days 00:00:00.000000000,0.678839118398662,0.823916936589279,0.6716815832354011,0.05198939675562471,0.4899328859060403
23 days 00:00:00.000000000,0.6800999086094566,0.8246817013911831,0.6733824790706305,0.052126933231600676,0.4899328859060403
24 days 00:00:00.000000000,0.6853363813970859,0.8278504583540954,0.6768152825174014,0.05253365553895119,0.48322147651006714
24 days 00:00:00.000000000,0.6726306263715789,0.8201406137800876,0.6686482958912595,0.05206660377144968,0.4899328859060403
24 days 00:00:00.000000000,0.6659834571561948,0.8160780950106398,0.6627460790945789,0.05174485773285349,0.4966442953020134
24 days 00:00:00.000000000,0.6626888211216059,0.8140570134343208,0.6588022796942798,0.05140839347826373,0.5033557046979866
24 days 00:00:00.000000000,0.6799808418049593,0.8246095086796897,0.6685861430109739,0.05198101444502694,0.4966442953020134
24 days 00:00:00.000000000,0.6785675434242611,0.8237521128496491,0.6670793261766371,0.051833549326832665,0.4966442953020134
24 days 00:00:00.000000000,0.681360573979307,0.8254456820283859,0.66947311657604,0.052045515392145095,0.4899328859060403
24 days 00:00:00.000000000,0.6811165814891821,0.8252978744000145,0.6689365358448518,0.05195458810164082,0.4899328859060403
24 days 00:00:00.000000000,0.6734712851510946,0.8206529626773393,0.6645756641752859,0.05175291685149156,0.4899328859060403
24 days 00:00:00.000000000,0.6736701487118494,0.8207741155225653,0.6654738372414086,0.051787320096055245,0.4899328859060403
25 days 00:00:00.000000000,0.6657172797063742,0.8159149953925189,0.6583972862040784,0.05137028488828996,0.4966442953020134
25 days 00:00:00.000000000,0.6611048130238252,0.8130835215547202,0.6534846090073454,0.050912063943448056,0.5033557046979866
25 days 00:00:00.000000000,0.6653501569607537,0.8156899882680636,0.6585775051444402,0.05135572915422272,0.4966442953020134
25 days 00:00:00.000000000,0.6620120241734866,0.8136412134187198,0.6569969593693612,0.05150464425338645,0.4966442953020134
25 days 00:00:00.000000000,0.6794411080230925,0.8242821774265731,0.6646445258367819,0.05188435376109608,0.4966442953020134
25 days 00:00:00.000000000,0.6819638210518068,0.8258110080713424,0.6668534285894762,0.0521141409170613,0.4899328859060403
25 days 00:00:00.000000000,0.682964174302612,0.8264164654111219,0.6688250960058937,0.052309090966859005,0.4899328859060403
25 days 00:00:00.000000000,0.6804154890980255,0.8248730139227647,0.6672324013990378,0.052183677179952474,0.4966442953020134
26 days 00:00:00.000000000,0.6802109646138738,0.8247490312900487,0.6664447135139976,0.052130310060811036,0.4966442953020134
26 days 00:00:00.000000000,0.6846643850131036,0.8274444905932382,0.6713183116404989,0.052539837629479426,0.4899328859060403
26 days 00:00:00.000000000,0.6845760935766131,0.827391136994235,0.67125549321479,0.05254590263910976,0.4899328859060403
26 days 00:00:00.000000000,0.6841575567969908,0.8271381727359648,0.6698518769370414,0.05244234417426866,0.4899328859060403
