date	colombo_stock_exchange	dhammika_perera	singer_sri_lanka	hayleys	jedb	kelani_valley	exports	tea_board	ceylon_tea	ceylon_tea	russia	sri_lankan_tea	green_tea	turkey	china_tea	tea_exports	hayleys	tea_export	lucille	company_act	indian_tea	max_value	kw_max	daily_news_vector_sum	high	low	close	open	trades	shares	turnover	high_1	low_1	close_1	open_1	trades_1	shares_1	turnover_1	impact	isImpacted
2017-02-28	0.27	0.24	0.0	0.15	-0.0	0.82	0.17	0.0	0.38	0.36	0.25	0.31	-0.0	0.12	0.0	-0.0	-0.15	0.5	-0.0	-0.0	0.0	0.82	kelani valley	4.24	58.7	58.7	75.0	75.0	2.0	23.0	1350.1	-2.33	-2.17	0.0	0.0	-33.33	91.67	87.36	0.0	
2017-03-01	0.43	0.91	0.0	0.29	-0.0	0.0	0.5	0.0	0.37	0.35	0.24	0.0	-0.73	0.0	0.0	-0.0	-0.29	0.0	-0.0	-0.43	0.0	0.91	dhammika perera	2.55	75.0	69.9	74.9	75.0	5.0	919.0	68858.8	27.77	19.08	-0.13	0.0	150.0	3895.65	5000.27	-0.1	
2017-03-06	0.17	0.23	0.0	0.0	-0.0	0.0	0.34	0.0	0.0	0.47	0.12	0.0	-0.5	0.12	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.5	green tea	0.45	74.9	59.7	74.7	74.9	3.0	102.0	7624.6	-0.13	-14.59	-0.27	-0.13	-40.0	-88.9	-88.93	-0.267	
2017-03-21	0.71	0.24	0.0	0.31	-0.0	0.0	0.17	0.27	0.19	0.24	0.56	0.32	-0.25	0.25	0.0	-0.0	-0.31	0.51	-0.0	-0.0	0.0	0.71	colombo stock exchange	3.92	57.8	57.8	74.7	74.7	1.0	1.0	57.8	-22.83	-3.18	0.0	-0.27	-66.67	-99.02	-99.24	-0.1671	
2017-03-24	0.0	0.72	0.0	0.46	-0.0	0.0	0.7	0.27	0.0	0.24	0.81	0.0	-0.0	0.0	0.85	-0.0	-0.46	0.0	-0.0	-0.0	0.0	0.85	china tea	4.44	74.9	57.6	72.9	74.7	17.0	2144.0	148715.6	29.58	-0.35	-2.41	0.0	1600.0	214300.0	257193.43	-1.8843	
2017-03-27	0.17	0.22	0.0	0.58	-0.0	0.0	0.33	0.0	0.18	0.22	0.52	0.0	-0.0	0.0	0.0	-0.0	-0.58	0.0	-0.0	-0.41	0.0	-0.58	hayleys	0.6500000000000002	76.0	57.0	76.0	72.9	13.0	529.0	35681.8	1.47	-1.04	4.25	-2.41	-23.53	-75.33	-76.01	1.9108	
2017-03-28	0.15	0.0	0.0	0.27	-0.0	0.0	0.15	0.23	0.33	0.42	0.59	0.27	-0.0	0.11	0.0	-0.0	-0.27	0.0	-0.0	-0.0	0.0	0.59	russia	2.8399999999999994	77.0	76.0	76.7	76.0	2.0	301.0	23077.0	1.32	33.33	0.92	4.25	-84.62	-43.1	-35.33	2.1645	
2017-03-29	0.27	0.0	0.0	0.0	-0.0	0.0	0.18	0.0	0.2	0.24	0.25	0.0	-0.52	0.25	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.52	green tea	0.3499999999999999	82.0	77.0	82.0	76.7	10.0	1251.0	100077.6	6.49	1.32	6.91	0.92	400.0	315.61	333.67	6.632	1.0
2017-04-05	0.27	0.24	0.0	0.47	-0.0	0.0	0.0	0.28	0.0	0.24	0.69	0.0	-0.26	0.13	0.0	-0.0	-0.47	0.0	-0.0	-0.0	0.0	0.69	russia	2.28	82.0	77.0	82.0	82.0	6.0	1000.0	81396.0	0.0	0.0	0.0	6.91	-40.0	-20.06	-18.67	3.568	
2017-04-11	0.2	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.22	0.27	0.35	0.0	-0.0	0.29	0.0	-0.0	-0.0	0.0	-0.0	-0.51	0.0	-0.51	company act	0.31000000000000005	62.4	62.4	82.0	82.0	1.0	2.0	124.8	-23.9	-18.96	0.0	0.0	-83.33	-99.8	-99.85	1.6424	
2017-04-12	0.2	0.0	0.0	0.18	-0.0	0.0	0.2	0.0	0.44	0.55	0.57	0.0	-0.0	0.14	0.0	-0.0	-0.18	0.0	-0.0	-0.51	0.0	0.57	russia	2.16	81.9	81.9	82.0	82.0	2.0	51.0	4176.9	31.25	31.25	0.0	0.0	100.0	2450.0	3246.88	0.0	
2017-04-17	0.19	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.76	0.32	0.0	-0.26	0.26	0.0	-0.5	-0.0	0.0	-0.98	-0.0	0.0	-0.98	Lucille	-1.19	81.9	81.9	82.0	82.0	2.0	70.0	5733.0	0.0	0.0	0.0	0.0	0.0	37.25	37.25	0.0	
2017-04-18	0.0	0.0	0.0	0.0	-0.0	0.0	0.18	0.27	0.19	0.24	0.37	0.31	-0.26	0.38	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.38	turkey	2.06	89.8	89.8	82.0	82.0	1.0	4.0	359.2	9.65	9.65	0.0	0.0	-50.0	-94.29	-93.73	0.0	
2017-04-19	0.35	0.0	0.0	0.45	-0.0	0.0	0.51	0.0	0.38	0.47	0.49	0.0	-0.5	0.49	0.0	-0.0	-0.45	0.0	-0.0	-0.43	0.0	0.51	exports	2.27	85.0	84.5	84.8	82.0	7.0	1605.0	136172.5	-5.35	-5.9	3.41	0.0	600.0	40025.0	37809.94	2.5393	
2017-04-20	0.35	0.0	0.0	0.3	-0.0	0.0	0.51	0.26	0.0	0.7	0.6	0.0	-0.25	0.0	0.0	-0.0	-0.3	0.5	-0.0	-0.0	0.0	0.7	ceylon tea	3.37	86.0	83.0	85.0	84.8	14.0	3600.0	306258.0	1.18	-1.78	0.24	3.41	100.0	124.3	124.9	1.8574	
2017-04-21	0.35	0.0	0.0	0.0	-0.0	0.0	0.35	0.0	0.0	0.24	0.8	0.0	-0.51	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.8	russia	2.03	89.6	84.9	85.8	85.0	6.0	1000.0	85839.6	4.19	2.29	0.94	0.24	-57.14	-72.22	-71.97	1.6588	
2017-04-25	0.44	0.24	0.0	0.15	-0.0	0.0	0.35	0.0	0.0	0.0	0.55	0.0	-0.25	0.5	0.0	-0.0	-0.15	0.0	-0.0	-0.44	0.0	0.55	russia	1.94	90.0	88.0	89.9	85.8	25.0	6205.0	554043.0	0.45	3.65	4.78	0.94	316.67	520.5	545.44	4.081	
2017-04-26	0.54	0.0	0.0	0.0	-0.0	0.0	0.18	0.0	0.19	0.24	0.25	0.32	-0.26	0.13	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.54	colombo stock exchange	2.13	90.0	87.6	89.3	89.9	7.0	3187.0	284454.6	0.0	-0.45	-0.67	4.78	-72.0	-48.64	-48.66	2.0571	
2017-04-27	0.18	0.47	0.0	0.3	-0.0	0.0	0.34	0.53	0.57	0.71	0.37	0.0	-0.25	0.12	0.0	-0.0	-0.3	0.0	-0.0	-0.0	0.0	0.71	ceylon tea	3.75	92.5	89.5	92.3	89.3	16.0	1920.0	176627.5	2.78	2.17	3.36	-0.67	128.57	-39.76	-37.91	3.3305	
2017-04-28	0.37	0.0	0.0	0.16	-0.0	0.0	0.36	0.0	0.0	0.0	0.64	0.32	-0.26	0.39	0.0	-0.0	-0.16	0.52	-0.0	-0.0	0.0	0.64	russia	2.9800000000000004	92.5	85.0	92.3	92.3	9.0	4434.0	408343.5	0.0	-5.03	0.0	3.36	-43.75	130.94	131.19	1.4843	
2017-05-03	0.36	0.0	0.0	0.31	-0.0	0.0	0.53	0.0	0.0	0.0	0.49	0.0	-0.0	0.25	0.0	-0.0	-0.31	0.0	-0.0	-0.0	0.0	0.53	exports	2.16	94.6	92.0	94.6	92.3	4.0	500.0	47294.8	2.27	8.24	2.49	0.0	-55.56	-88.72	-88.42	2.6866	1.0
2017-05-04	0.27	0.0	0.0	0.15	-0.0	0.0	0.0	0.27	0.0	0.0	0.37	0.0	-0.51	0.37	0.84	-0.0	-0.15	0.0	-0.0	-0.0	0.0	0.84	china tea	2.45	95.0	82.1	94.7	94.6	20.0	2704.0	253878.0	0.42	-10.76	0.11	2.49	400.0	440.8	436.8	1.3105	
2017-05-15	0.28	0.0	0.0	0.16	-0.0	0.88	0.0	0.0	0.2	0.25	0.33	0.0	-0.0	0.0	0.0	-0.0	-0.16	0.0	-0.0	-0.0	0.0	0.88	kelani valley	2.8200000000000003	95.0	80.0	94.0	94.7	20.0	7170.0	665865.6	0.0	-2.56	-0.74	0.11	0.0	165.16	162.28	0.1065	
2017-05-16	0.2	0.0	0.0	0.52	-0.0	0.0	0.39	0.3	0.43	0.41	0.28	0.0	-0.57	0.0	0.0	-0.0	-0.52	0.58	-0.0	-1.0	0.0	-1.0	company act	0.020000000000000014	94.0	94.0	94.0	94.0	1.0	100.0	9400.0	-1.05	17.5	0.0	-0.74	-95.0	-98.61	-98.59	-0.3446	
2017-05-17	0.4	0.0	0.0	0.52	-0.0	0.91	0.2	0.3	0.0	0.0	0.42	0.35	-0.0	0.0	0.0	-0.0	-0.52	0.0	-0.0	-0.0	0.0	0.91	kelani valley	3.49	97.2	94.0	96.0	94.0	10.0	3901.0	374093.8	3.4	0.0	2.13	0.0	900.0	3801.0	3879.72	1.3995	
2017-05-19	0.82	0.0	0.0	0.35	-0.0	0.0	0.4	0.31	0.0	0.28	0.28	0.36	-0.29	0.14	0.0	-0.0	-0.35	0.0	-0.0	-0.0	0.0	0.82	colombo stock exchange	3.12	97.0	96.0	97.0	96.0	8.0	3001.0	289655.0	-0.21	2.13	1.04	2.13	-20.0	-23.07	-22.57	1.8373	
2017-05-24	0.0	0.0	0.0	0.17	-0.0	0.0	0.2	0.0	0.0	0.0	0.21	0.35	-0.0	0.85	0.0	-0.0	-0.17	0.0	-0.0	-0.0	0.0	0.85	turkey	2.46	82.3	82.3	97.0	97.0	2.0	38.0	3127.4	-15.15	-14.27	0.0	1.04	-75.0	-98.73	-98.92	1.0417	
